,id,song,tags,thumbnail
112,6IP4VnqS1pOiQcPVP4zx0H,moon bound,"moon bound,prem dhillon,desi hip hop, desi pop, punjabi pop,20,61",https://i.scdn.co/image/ab6761610000e5eb5119b96ff46fce3c7c012c4b
113,1mUl05hT77FrwVFW51wOlr,casanova,"casanova,jerry,desi pop, punjabi pop,20,53",https://i.scdn.co/image/ab6761610000e5eb5ce57344a43b0a1ebb6858cb
114,6HkQAVfiEMIx0yWyWOnVfq,jhanjar,"jhanjar,ravneet,punjabi pop,20,43",https://i.scdn.co/image/ab67616d0000b273d098c34e1aa344ae4ceb9970
115,2FKWNmZWDBZR4dE5KX4plR,vibe,"moonchild era,diljit dosanjh,desi pop, filmi, modern bollywood, punjabi pop,20,70",https://i.scdn.co/image/ab6761610000e5eb92103a69abd9fbf76d866374
116,2RlWC7XKizSOsZ8F3uGi59,khabbi seat,"khabbi seat,ammy virk, sweetaj brar,desi pop, punjabi pop,20,61",https://i.scdn.co/image/ab6761610000e5eb02711e80d568eae38449febb
117,4PULA4EFzYTrxYvOVlwpiQ,the last ride,"the last ride,sidhu moose wala,desi hip hop, desi pop, pakistani hip hop, punjabi hip hop, punjabi pop,20,70",https://i.scdn.co/image/ab6761610000e5eb65d54c88ab4c1abf204b360f
118,45LSiycLy1JsWUMObvPvpX,mere peera,"mere peera,gurnam bhullar, neeru bajwa,desi pop, punjabi pop,20,61",https://i.scdn.co/image/ab6761610000e5ebe4ba826a2a73d0d81dab0618
119,67XQGZSc63AMXMINY8H7Fx,no count,"no count,tarsem jassar, japji khaira,desi pop, punjabi pop,20,58",https://i.scdn.co/image/ab6761610000e5eb02ec3a1a1cc769a7e4ed0cc6
120,58o8gC55d5XSsI2MlTZ3M5,will,"will,nseeb, bass mutant,desi hip hop, desi pop, punjabi hip hop, punjabi pop,20,46",https://i.scdn.co/image/ab6761610000e5eb2ac4bdf3ef5383088c8232aa
121,6DARBhWbfcS9E4yJzcliqQ,unreachable,"way ahead,karan aujla, ikka,desi hip hop, desi pop, punjabi pop,20,69",https://i.scdn.co/image/ab6761610000e5eb96abb7be2b2dbad703efad00
122,0sYnCQ9Eb3RbEHOqVQST8d,fresh home,"fresh home,roop bhullar, stizzy3triz,punjabi pop,20,39",https://i.scdn.co/image/ab6761610000e5eb2a5e2f3b26d78cc9692943a9
123,78rdC4FvVaOJmEgfjlUi4a,boohe di bell,"boohe di bell,geeta zaildar,bhangra, desi pop, punjabi pop,20,49",https://i.scdn.co/image/ab6761610000e5ebeefa72e133e87da5b65855ae
124,1vFNlCAbfSTUYQznQPAMdi,rough life,"rough life,gxrv,,20,26",https://i.scdn.co/image/ab67616d0000b273a6f8d7259b4470cece6802e1
125,1RZATJXuzNpM3hS4wglC6i,gulab sihon aa geya canada,"gulab sihon aa geya canada ,sardool sikander,bhangra, punjabi folk,20,40",https://i.scdn.co/image/ab67616d0000b27395d03a4ca825b977177b0cc9
126,2o0QYCV2qRITQ2fBRmB1FG,sheeshe down,"sheeshe down ,kartar cheema, khare ala gopi,,20,18",https://i.scdn.co/image/ab67616d0000b27353e3214a39fa104e043e79e2
127,3ykSzXnVx8jYzMBHShHDgw,we don't stop,"we dont stop,raju dinehwala,,20,13",https://i.scdn.co/image/ab67616d0000b273098a3de2588254cd2958c4e3
128,6DARBhWbfcS9E4yJzcliqQ,game over,"way ahead,karan aujla,desi hip hop, desi pop, punjabi pop,20,69",https://i.scdn.co/image/ab6761610000e5eb96abb7be2b2dbad703efad00
129,2Q54hRFIUw0VBqGRyzma5P,kale rang da paranda,"kale rang da paranda,aabha hanjura,indian folk, kashmiri pop,20,24",https://i.scdn.co/image/ab6761610000e5eb2a02ea8b1cf6b6e8b117ecd3
130,4C19flKmMm12gRxmBJWMCV,hommies,"hommies,varinder brar, cheetah,desi pop, punjabi pop,20,55",https://i.scdn.co/image/ab6761610000e5ebf755dbfb5610a71487185fe3
